Rk,Player,Pos,Age,Tm,MP,FG,FGA,FG%,TRB,AST,STL,BLK,PTS,STARS
185,De'Anthony Melton,PG,21,MEM,19.5,2.7,6.7,0.401,3.7,2.9,1.3,0.3,7.6,3
186,Dwight Howard,C,34,LAL,18.9,2.9,4,0.729,7.3,0.7,0.4,1.1,7.5,3
187,Terence Davis,SG,22,TOR,16.8,2.8,6.1,0.456,3.3,1.6,0.5,0.2,7.5,3
188,Bismack Biyombo,C,27,CHO,19.4,2.8,5.2,0.543,5.8,0.9,0.2,0.9,7.4,3
189,Tyus Jones,PG,23,MEM,19,3,6.6,0.459,1.6,4.4,0.9,0.1,7.4,3
190,Wesley Matthews,SG,33,MIL,24.4,2.5,6.3,0.396,2.5,1.4,0.6,0.1,7.4,3
191,Jaxson Hayes,C,19,NOP,16.9,2.7,4,0.672,4,0.9,0.4,0.9,7.4,3
192,Nerlens Noel,C,25,OKC,18.5,3,4.4,0.684,4.9,0.9,1,1.5,7.4,3
193,Gorgui Dieng,C,30,MEM,17.4,2.6,5.8,0.456,5.6,1.2,0.8,0.9,7.4,3
194,Kris Dunn,PG,25,CHI,24.9,3,6.7,0.444,3.6,3.4,2,0.3,7.3,3
195,Emmanuel Mudiay,PG,23,UTA,15.7,2.8,6.1,0.462,2.3,2.1,0.4,0.2,7.3,3
196,Mason Plumlee,C,29,DEN,17.3,2.9,4.7,0.615,5.2,2.5,0.5,0.6,7.2,3
197,Willie Cauley-Stein,C,26,DAL,20.3,3.2,5.6,0.579,5.8,1.3,0.9,1.1,7.2,3
198,Rondae Hollis-Jefferson,SF,25,TOR,18.7,2.6,5.5,0.471,4.7,1.8,0.8,0.4,7,3
199,Brad Wanamaker,PG,30,BOS,19.3,2.3,5.1,0.448,2,2.5,0.9,0.2,6.9,3
200,Delon Wright,SG,27,DAL,21.5,2.6,5.6,0.462,3.8,3.3,1.2,0.3,6.9,3
201,P.J. Tucker,PF,34,HOU,34.3,2.5,5.9,0.415,6.6,1.6,1.1,0.5,6.9,3
202,JaMychal Green,PF,29,LAC,20.7,2.4,5.6,0.429,6.2,0.8,0.5,0.4,6.8,3
203,Kyle Korver,SF,38,MIL,16.6,2.2,5.1,0.43,2.1,1.2,0.4,0.2,6.7,3
204,Damyean Dotson,SG,25,NYK,17.4,2.5,6,0.414,1.9,1.2,0.5,0.1,6.7,3
205,JaVale McGee,C,32,LAL,16.6,2.9,4.5,0.637,5.7,0.5,0.5,1.4,6.6,3
206,Ersan Ilyasova,PF,32,MIL,15.7,2.3,5,0.466,4.8,0.8,0.4,0.3,6.6,3
207,Nicolò Melli,C,29,NOP,17.4,2.3,5.4,0.421,3,1.4,0.6,0.4,6.6,3
208,Chris Boucher,PF,27,TOR,13.2,2.3,4.8,0.472,4.5,0.4,0.4,1,6.6,3
